;;min;max;10
$61_1$;pc_StageKcFactor1;0.1;1.5;0.4
$61_2$;pc_StageKcFactor2;0.1;1.5;0.8
$61_3$;pc_StageKcFactor3;0.1;1.5;1
$61_4$;pc_StageKcFactor4;0.1;1.5;1.35
$61_5$;pc_StageKcFactor5;0.1;1.5;0.85
$61_6$;pc_StageKcFactor6;0.1;1;0.4
$62_1$;pc_DroughtStressThreshold1;0.1;1;1
$62_2$;pc_DroughtStressThreshold2;0.1;1;0.7
$62_3$;pc_DroughtStressThreshold3;0.1;1;0.8
$62_4$;pc_DroughtStressThreshold4;0.1;1;0.8
$62_5$;pc_DroughtStressThreshold5;0.1;1;0.8
$62_6$;pc_DroughtStressThreshold6;0.1;1;0.7
$65_1$;pc_SpecificLeafArea1;0.0007;0.0011;0.0009
$65_2$;pc_SpecificLeafArea2;0.0008;0.0012;0.001
$65_3$;pc_SpecificLeafArea3;0.0008;0.0012;0.001
$65_4$;pc_SpecificLeafArea4;0.0007;0.0011;0.0009
$65_5$;pc_SpecificLeafArea5;0.0007;0.0011;0.0009
$65_6$;pc_SpecificLeafArea6;0.0007;0.0011;0.0009
$66_1$ ;pc_StageMaxRootNConcentration1;0.01;0.04;0.02
$66_2$ ;pc_StageMaxRootNConcentration2;0.01;0.04;0.015
$66_3$ ;pc_StageMaxRootNConcentration3;0.01;0.04;0.012
$66_4$ ;pc_StageMaxRootNConcentration4;0.005;0.02;0.01
$66_5$ ;pc_StageMaxRootNConcentration5;0.005;0.04;0.009
$66_6$ ;pc_StageMaxRootNConcentration6;0.005;0.04;0.009
$67_1$;pc_CriticalOxygenContent1;0.01;0.05;0.03
$67_2$;pc_CriticalOxygenContent2;0.01;0.05;0.03
$67_3$;pc_CriticalOxygenContent3;0.01;0.05;0.03
$67_4$;pc_CriticalOxygenContent4;0.01;0.05;0.03
$67_5$;pc_CriticalOxygenContent5;0.01;0.05;0.03
$67_6$;pc_CriticalOxygenContent6;0.01;0.05;0.03
